rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1926144,3.8000072479248046,7.460721152,1.5251259803771973,4.595722503693246
16,32,3769344,4.139718369642893,6.865775104,1.4878722429275513,4.427664494654483
64,128,14828544,3.8207436203956604,8.249242112,1.4433530569076538,4.23487180342374
